LINEA,T_internal,T_Mtto,T_Aseos,T_CO&SUP,T_External,NST_Demanda,NST_Material,NST_Engeneering,NST_Other,N_SKU,EPT,Regional,País,Automatic,GLY,LEF,OEE,META_GLY,META_LEF,META_ST,ST,TT,NST TOTAL
DO31_L501,17.68527778,8.558055556,6.629444444,47.92444444,0.201666667,488.3858333,4.226388889,#N/D,47.92444444,7,159.9447222,R-CAC,DO,Habilitado,79%,90%,21%,0,0,0,203.4633333,744,540.5366667
DO31_L502,3.215277778,2.116666667,2.743055556,287.3422222,0.766666667,374.8891667,#N/D,#N/D,287.3422222,3,69.66083333,R-CAC,DO,Habilitado,85%,96%,9%,0,0,0,81.76861111,744,662.2313889
DO31_L503,24.15083333,20.74305556,10.10555556,36.57916667,6.268333333,437.1236111,#N/D,#N/D,36.57916667,3,199.7077778,R-CAC,DO,Habilitado,74%,89%,27%,60.8278,76.1587,432.186,270.2972222,744,473.7027778
DO31_L504,0,#N/D,#N/D,#N/D,0,744,#N/D,#N/D,#N/D,#N/D,0,R-CAC,DO,Habilitado,#¡DIV/0!,#¡DIV/0!,0%,0,0,0,0,744,744
DO31_L505,69.55027778,23.27861111,18.97805556,196.1386111,3.662222222,72.07194444,#N/D,#N/D,196.1386111,4,349.3927778,R-CAC,DO,Habilitado,73%,83%,47%,60.67,77.765,418.625,475.7894444,744,268.2105556
DO31_L506,36.04722222,14.16166667,12.265,219.6461111,8.904166667,159.2938889,12.18361111,#N/D,219.6461111,4,268.9672222,R-CAC,DO,Habilitado,76%,88%,36%,63.2839,80.7298,609.037,352.8763889,744,391.1236111
DO31_L507,26.40611111,1.961111111,13.40472222,267.6866667,14.70194444,222.6111111,#N/D,1.533333333,267.6866667,2,183.0916667,R-CAC,DO,Habilitado,73%,87%,25%,71.8934,87.6464,517.433,252.1688889,744,491.8311111
DO31_L512,13.30388889,0.1,11.48527778,8,2.630555556,403.6211111,#N/D,#N/D,8,5,297.8436111,R-CAC,DO,Habilitado,90%,96%,40%,82.1357,95.6207,645.274,332.3788889,744,411.6211111
DO31_L521,0.073888889,#N/D,#N/D,#N/D,1.338333333,499.2005556,#N/D,#N/D,#N/D,1,235.0055556,R-CAC,DO,Habilitado,96%,100%,32%,85.7354,98.7675,560.831,244.7994444,744,499.2005556
DO51_L502,51.23888889,45.91666667,46.11888889,232.5197222,46.80972222,#N/D,#N/D,#N/D,232.5197222,2,317.3430556,R-CAC,DO,Habilitado,62%,86%,43%,66.156,84.618,362.086,511.4802778,744,232.5197222
DO51_L551,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-CAC,#N/D,Deshabilitado,#N/D,#N/D,#N/D,50.997,76.492,34.0347,#N/D,#N/D,#N/D
DO51_L561,4.8925,#N/D,4.298055556,8,0,548.43,#N/D,#N/D,8,18,169.8916667,R-CAC,DO,Habilitado,91%,97%,23%,81.481,95.9439,351.591,187.57,744,556.43
DO51_L562,0,#N/D,#N/D,#N/D,0,710.2027778,#N/D,#N/D,#N/D,2,33.63027778,R-CAC,DO,Habilitado,100%,100%,5%,84.244,98.3575,355.419,33.79722222,744,710.2027778
DO51_L563,2.183333333,#N/D,#N/D,#N/D,0.963333333,440.9011111,#N/D,#N/D,#N/D,8,296.1572222,R-CAC,DO,Habilitado,98%,99%,40%,90.0744,98.3578,332.474,303.0988889,744,440.9011111
